"standard.name"	"canonical.units"	"shorthand"	"symbol"	"R.expression"
"sea_water_temperature_as_Celsius"	"ºC"	"T.degC"	"T"	" expression(paste(Temp "" ("", degree, ""C)""))"
"air_temperature_as_Celsius"	"ºC"	"T.degC"	"T"	" expression(paste(Temp., "" ("", degree, ""C)""))"
"sea_water_practical_salinity"	1	"S.psu"	"S"	"Salinity (PSU)"
"sea_water_pH_reported_on_NBS_scale"	1	" pH.NBS"	"pH"	"pH (NBS)"
"ratio_of_particulate_organic_matter_to_total_suspended_solids"	1	"ratioPOMTSS"	"POM:TSS"	"POM:TSS"
"downwelling_photosynthetic_photon_flux"	"mol/m2.s"	"PPF.umolm2s"	"PPF"	" expression(paste(PPF, "" ("", mu, ""mol photons "",m^{2}, s^{-1},"")"" ))"
"rainfall"	"mm"	"rain.mm"	"Rainfall"	"Rainfall (mm)"
"wind_speed_at_10m_above_surface"	"m/s"	"wind10.ms"	"u_10"	" expression(paste(italic(u)[10],"" (m "",s^{-1},"")""))"
"carbon_dioxide_partial_pressure_in_sea_water"	"atm"	" pCO2sw.uatm"	"pCO_2_sw"	" expression(paste(pCO[2], "" ("", mu, ""atm)"" ))"
"carbon_dioxide_partial_pressure_in_air"	"atm"	"pCO2air.uatm"	"pCO2_air"	" expression(paste(pCO[2][ air], "" ("", mu, ""atm)"" ))"
"oxygen_partial_pressure_in_sea_water"	"atm"	"pO2.matm"	"pO2_sw"	" expression(paste(pO[2], "" (matm)"" ))"
"oxygen_partial_pressure_in_air"	"atm"	"pO2.matm"	"pO2_air"	" expression(paste(pO[2], "" (matm)"" ))"
"mass_concentration_of_chlorophyll_a_in_sea_water"	"g/m3"	"Chla.ugL"	"[Chla]"	" expression(paste(""["",Chl, italic(a),""]"", "" ("", mu, ""g "",L^{-1},"")"" ))"
"mass_concentration_of_total_suspended_solids"	"g/m3"	"TSS.mgL"	"[TSS]"	" expression(paste(""[SPM]"", "" (mg "",L^{-1},"")"" ))"
"mass_concentration_of_particulate_organic_matter"	"g/m3"	"POM.mgL"	"[POM]"	" expression(paste(""[POM]"", "" (mg "",L^{-1},"")"" ))"
"sea_water_alkalinity_expressed_as_mole_equivalent"	"mol/m3"	"TA.umolL"	"A_T"	" expression(paste(A[T], "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_dissolved_molecular_oxygen_in_sea_water"	"mol/m3"	"O2.umolL"	"[O2]"	" expression(paste(""["",O[2],""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_dissolved_organic_carbon_in_sea_water"	"mol/m3"	"DOC.mmolL"	"[DOC]"	" expression(paste(""["",DOC,""]"", "" (mmol "",L^{-1},"")"" ))"
"mole_concentration_of_ammonium_in_sea_water"	"mol/m3"	"NH4.umolL"	"[NH4]"	" expression(paste(""["",NH[4],""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_nitrite_in_sea_water"	"mol/m3"	"NO2.umolL"	"[NO2]"	" expression(paste(""["",NO[2],""]"", "" ("", mu, ""mol"",L^{-1},"")"" ))"
"mole_concentration_of_silicate_in_sea_water"	"mol/m3"	"dSi.umolL"	"[dSi]"	" expression(paste(""["",Si(OH)[4],""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_phosphate_in_sea_water"	"mol/m3"	"dPi.umolL"	"[dPi]"	" expression(paste(""["",PO[4],""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_nitrate_in_sea_water"	"mol/m3"	"NO3.umolL"	"[NO3]"	" expression(paste(""["",NO[3],""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_dissolved_organic_nitrogen_in_sea_water"	"mol/m3"	"DON.umolL"	"[DON]"	" expression(paste(""["",DON,""]"", "" ("", mu, ""mol"",L^{-1},"")"" ))"
"mole_concentration_of_dissolved_nitrogen_in_sea_water"	"mol/m3"	"DN.umolL"	"[DN]"	" expression(paste(""["",DN,""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_dissolved_inorganic_carbon_in_sea_water"	"mol/m3"	"DIC.mmolL"	"[DIC]"	" expression(paste(""[DIC] ("",""mmol "",L^{-1},"")"" ))"
"mole_concentration_of_carbon_dioxide_in_sea_water"	"mol/m3"	"CO2.umolkgSW"	"[CO2]"	" expression(paste(""["",CO[2],""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_carbonate_in_sea_water"	"mol/m3"	"CO3.umolkgSW"	"[CO3]"	" expression(paste(""["",CO[3]^{-2},""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"mole_concentration_of_bicarbonate_in_sea_water"	"mol/m3"	"HCO3.umolkgSW"	"[HCO3]"	" expression(paste(""["",HCO[3]^{-1},""]"", "" ("", mu, ""mol "",L^{-1},"")"" ))"
"surface_upward_mole_flux_of_carbon_dioxide"	"mol/m2.s"	"FluxCO2.mmolm2d"	"F_CO2"	" expression(paste(CO[2],"" Flux"", "" (mmol "",m^{-2},d^{-1},"")"" ))"
"surface_upward_mole_flux_of_carbon_dioxide_as_carbon"	"mol/m2.s"	"FCO2.molCm2y"	"F_CO2"	" expression(paste(C,"" Flux"", "" (molC "",m^{-2},"" "",y^{-1},"")"" ))"
"surface_upward_mole_transport_of_carbon"	"mol/s"	"FluxCO2.Mmold"	"T_CO2"	" expression(paste(CO[2],"" Transport"", "" (Mmol "",d^{-1},"")"" ))"
"surface_upward_mass_transport_of_carbon"	"g/s"	"FluxC.Ggy"	"T_C"	" expression(paste(""C Transport"", "" (Gg "",y^{-1},"")"" ))"
"surface_area_covered_by water"	"m2"	"waterarea.km"	"A"	" expression(paste(""Area"", "" ("",km^{2},"")"" ))"
"aqueous_phase_solubility_of_carbon_dioxide"	"mol/m3.atm"	"KoCO2.cmh"	"Ko_CO2"	" expression(paste(italic(k)[w],"" (cm "",h^{-1},"")""))"
